district,year,deaths,dt_cen_cd
Araria,2000,0,7
Araria,2001,0,7
Araria,2002,22,7
Araria,2003,6,7
Araria,2004,14,7
Araria,2005,0,7
Araria,2006,0,7
Araria,2007,0,7
Araria,2008,2,7
Araria,2009,0,7
Araria,2010,0,7
Araria,2011,0,7
Araria,2012,0,7
Araria,2013,14,7
Araria,2014,1,7
Araria,2015,0,7
Araria,2016,61,7
Araria,2017,95,7
Arwal,2000,0,38
Arwal,2001,0,38
Arwal,2002,0,38
Arwal,2003,0,38
Arwal,2004,0,38
Arwal,2005,0,38
Arwal,2006,0,38
Arwal,2007,0,38
Arwal,2008,0,38
Arwal,2009,0,38
Arwal,2010,0,38
Arwal,2011,0,38
Arwal,2012,0,38
Arwal,2013,0,38
Arwal,2014,0,38
Arwal,2015,0,38
Arwal,2016,0,38
Arwal,2017,0,38
Aurangabad,2000,0,33
Aurangabad,2001,0,33
Aurangabad,2002,0,33
Aurangabad,2003,0,33
Aurangabad,2004,0,33
Aurangabad,2005,0,33
Aurangabad,2006,0,33
Aurangabad,2007,0,33
Aurangabad,2008,0,33
Aurangabad,2009,0,33
Aurangabad,2010,0,33
Aurangabad,2011,0,33
Aurangabad,2012,0,33
Aurangabad,2013,0,33
Aurangabad,2014,0,33
Aurangabad,2015,0,33
Aurangabad,2016,7,33
Aurangabad,2017,0,33
Banka,2000,23,23
Banka,2001,0,23
Banka,2002,0,23
Banka,2003,0,23
Banka,2004,0,23
Banka,2005,0,23
Banka,2006,0,23
Banka,2007,0,23
Banka,2008,0,23
Banka,2009,0,23
Banka,2010,0,23
Banka,2011,0,23
Banka,2012,0,23
Banka,2013,0,23
Banka,2014,0,23
Banka,2015,0,23
Banka,2016,0,23
Banka,2017,0,23
Begusarai,2000,0,20
Begusarai,2001,0,20
Begusarai,2002,10,20
Begusarai,2003,9,20
Begusarai,2004,10,20
Begusarai,2005,0,20
Begusarai,2006,0,20
Begusarai,2007,92,20
Begusarai,2008,0,20
Begusarai,2009,0,20
Begusarai,2010,0,20
Begusarai,2011,11,20
Begusarai,2012,0,20
Begusarai,2013,22,20
Begusarai,2014,0,20
Begusarai,2015,0,20
Begusarai,2016,23,20
Begusarai,2017,0,20
Bhagalpur,2000,115,22
Bhagalpur,2001,9,22
Bhagalpur,2002,0,22
Bhagalpur,2003,18,22
Bhagalpur,2004,20,22
Bhagalpur,2005,0,22
Bhagalpur,2006,9,22
Bhagalpur,2007,41,22
Bhagalpur,2008,17,22
Bhagalpur,2009,0,22
Bhagalpur,2010,0,22
Bhagalpur,2011,15,22
Bhagalpur,2012,0,22
Bhagalpur,2013,25,22
Bhagalpur,2014,0,22
Bhagalpur,2015,3,22
Bhagalpur,2016,12,22
Bhagalpur,2017,0,22
Bhojpur,2000,0,29
Bhojpur,2001,0,29
Bhojpur,2002,0,29
Bhojpur,2003,14,29
Bhojpur,2004,0,29
Bhojpur,2005,0,29
Bhojpur,2006,0,29
Bhojpur,2007,0,29
Bhojpur,2008,3,29
Bhojpur,2009,0,29
Bhojpur,2010,0,29
Bhojpur,2011,17,29
Bhojpur,2012,0,29
Bhojpur,2013,39,29
Bhojpur,2014,0,29
Bhojpur,2015,0,29
Bhojpur,2016,38,29
Bhojpur,2017,0,29
Buxar,2000,0,30
Buxar,2001,0,30
Buxar,2002,0,30
Buxar,2003,0,30
Buxar,2004,0,30
Buxar,2005,0,30
Buxar,2006,0,30
Buxar,2007,0,30
Buxar,2008,0,30
Buxar,2009,0,30
Buxar,2010,0,30
Buxar,2011,0,30
Buxar,2012,0,30
Buxar,2013,4,30
Buxar,2014,0,30
Buxar,2015,0,30
Buxar,2016,0,30
Buxar,2017,0,30
Darbhanga,2000,6,13
Darbhanga,2001,29,13
Darbhanga,2002,74,13
Darbhanga,2003,31,13
Darbhanga,2004,251,13
Darbhanga,2005,11,13
Darbhanga,2006,1,13
Darbhanga,2007,158,13
Darbhanga,2008,0,13
Darbhanga,2009,39,13
Darbhanga,2010,0,13
Darbhanga,2011,35,13
Darbhanga,2012,0,13
Darbhanga,2013,0,13
Darbhanga,2014,26,13
Darbhanga,2015,9,13
Darbhanga,2016,18,13
Darbhanga,2017,37,13
East Champaran,2000,0,2
East Champaran,2001,7,2
East Champaran,2002,1,2
East Champaran,2003,13,2
East Champaran,2004,15,2
East Champaran,2005,0,2
East Champaran,2006,0,2
East Champaran,2007,122,2
East Champaran,2008,0,2
East Champaran,2009,0,2
East Champaran,2010,0,2
East Champaran,2011,0,2
East Champaran,2012,0,2
East Champaran,2013,2,2
East Champaran,2014,0,2
East Champaran,2015,0,2
East Champaran,2016,3,2
East Champaran,2017,32,2
Gaya,2000,0,34
Gaya,2001,0,34
Gaya,2002,0,34
Gaya,2003,0,34
Gaya,2004,0,34
Gaya,2005,0,34
Gaya,2006,0,34
Gaya,2007,0,34
Gaya,2008,0,34
Gaya,2009,0,34
Gaya,2010,0,34
Gaya,2011,0,34
Gaya,2012,0,34
Gaya,2013,0,34
Gaya,2014,0,34
Gaya,2015,0,34
Gaya,2016,3,34
Gaya,2017,0,34
Gopalganj,2000,0,15
Gopalganj,2001,40,15
Gopalganj,2002,42,15
Gopalganj,2003,19,15
Gopalganj,2004,2,15
Gopalganj,2005,0,15
Gopalganj,2006,0,15
Gopalganj,2007,13,15
Gopalganj,2008,0,15
Gopalganj,2009,0,15
Gopalganj,2010,3,15
Gopalganj,2011,5,15
Gopalganj,2012,0,15
Gopalganj,2013,0,15
Gopalganj,2014,2,15
Gopalganj,2015,0,15
Gopalganj,2016,4,15
Gopalganj,2017,20,15
Jamui,2000,24,36
Jamui,2001,0,36
Jamui,2002,0,36
Jamui,2003,0,36
Jamui,2004,0,36
Jamui,2005,0,36
Jamui,2006,0,36
Jamui,2007,0,36
Jamui,2008,0,36
Jamui,2009,0,36
Jamui,2010,0,36
Jamui,2011,0,36
Jamui,2012,0,36
Jamui,2013,0,36
Jamui,2014,0,36
Jamui,2015,0,36
Jamui,2016,0,36
Jamui,2017,0,36
Jehanabad,2000,0,37
Jehanabad,2001,0,37
Jehanabad,2002,0,37
Jehanabad,2003,0,37
Jehanabad,2004,0,37
Jehanabad,2005,0,37
Jehanabad,2006,0,37
Jehanabad,2007,0,37
Jehanabad,2008,0,37
Jehanabad,2009,0,37
Jehanabad,2010,0,37
Jehanabad,2011,0,37
Jehanabad,2012,0,37
Jehanabad,2013,0,37
Jehanabad,2014,0,37
Jehanabad,2015,0,37
Jehanabad,2016,2,37
Jehanabad,2017,0,37
Kaimur,2000,0,31
Kaimur,2001,0,31
Kaimur,2002,0,31
Kaimur,2003,0,31
Kaimur,2004,0,31
Kaimur,2005,0,31
Kaimur,2006,0,31
Kaimur,2007,0,31
Kaimur,2008,0,31
Kaimur,2009,0,31
Kaimur,2010,0,31
Kaimur,2011,0,31
Kaimur,2012,0,31
Kaimur,2013,0,31
Kaimur,2014,0,31
Kaimur,2015,0,31
Kaimur,2016,0,31
Kaimur,2017,0,31
Katihar,2000,9,10
Katihar,2001,0,10
Katihar,2002,5,10
Katihar,2003,11,10
Katihar,2004,19,10
Katihar,2005,0,10
Katihar,2006,0,10
Katihar,2007,37,10
Katihar,2008,23,10
Katihar,2009,2,10
Katihar,2010,6,10
Katihar,2011,2,10
Katihar,2012,0,10
Katihar,2013,15,10
Katihar,2014,0,10
Katihar,2015,1,10
Katihar,2016,20,10
Katihar,2017,40,10
Khagaria,2000,3,21
Khagaria,2001,7,21
Khagaria,2002,47,21
Khagaria,2003,5,21
Khagaria,2004,39,21
Khagaria,2005,0,21
Khagaria,2006,0,21
Khagaria,2007,155,21
Khagaria,2008,5,21
Khagaria,2009,8,21
Khagaria,2010,0,21
Khagaria,2011,10,21
Khagaria,2012,0,21
Khagaria,2013,19,21
Khagaria,2014,10,21
Khagaria,2015,0,21
Khagaria,2016,14,21
Khagaria,2017,10,21
Kishanganj,2000,0,8
Kishanganj,2001,0,8
Kishanganj,2002,0,8
Kishanganj,2003,0,8
Kishanganj,2004,4,8
Kishanganj,2005,0,8
Kishanganj,2006,0,8
Kishanganj,2007,0,8
Kishanganj,2008,3,8
Kishanganj,2009,2,8
Kishanganj,2010,0,8
Kishanganj,2011,0,8
Kishanganj,2012,0,8
Kishanganj,2013,5,8
Kishanganj,2014,0,8
Kishanganj,2015,0,8
Kishanganj,2016,10,8
Kishanganj,2017,24,8
Lakhisarai,2000,5,25
Lakhisarai,2001,0,25
Lakhisarai,2002,0,25
Lakhisarai,2003,0,25
Lakhisarai,2004,0,25
Lakhisarai,2005,0,25
Lakhisarai,2006,0,25
Lakhisarai,2007,0,25
Lakhisarai,2008,0,25
Lakhisarai,2009,0,25
Lakhisarai,2010,0,25
Lakhisarai,2011,8,25
Lakhisarai,2012,0,25
Lakhisarai,2013,2,25
Lakhisarai,2014,0,25
Lakhisarai,2015,0,25
Lakhisarai,2016,14,25
Lakhisarai,2017,0,25
Madhepura,2000,0,11
Madhepura,2001,7,11
Madhepura,2002,2,11
Madhepura,2003,3,11
Madhepura,2004,18,11
Madhepura,2005,0,11
Madhepura,2006,0,11
Madhepura,2007,19,11
Madhepura,2008,272,11
Madhepura,2009,0,11
Madhepura,2010,5,11
Madhepura,2011,10,11
Madhepura,2012,0,11
Madhepura,2013,0,11
Madhepura,2014,3,11
Madhepura,2015,0,11
Madhepura,2016,14,11
Madhepura,2017,29,11
Madhubani,2000,2,5
Madhubani,2001,5,5
Madhubani,2002,35,5
Madhubani,2003,3,5
Madhubani,2004,93,5
Madhubani,2005,0,5
Madhubani,2006,0,5
Madhubani,2007,89,5
Madhubani,2008,0,5
Madhubani,2009,8,5
Madhubani,2010,0,5
Madhubani,2011,9,5
Madhubani,2012,0,5
Madhubani,2013,0,5
Madhubani,2014,4,5
Madhubani,2015,0,5
Madhubani,2016,3,5
Madhubani,2017,28,5
Munger,2000,31,24
Munger,2001,0,24
Munger,2002,0,24
Munger,2003,4,24
Munger,2004,0,24
Munger,2005,2,24
Munger,2006,3,24
Munger,2007,0,24
Munger,2008,0,24
Munger,2009,0,24
Munger,2010,0,24
Munger,2011,0,24
Munger,2012,0,24
Munger,2013,23,24
Munger,2014,0,24
Munger,2015,0,24
Munger,2016,2,24
Munger,2017,0,24
Muzaffarpur,2000,16,14
Muzaffarpur,2001,31,14
Muzaffarpur,2002,41,14
Muzaffarpur,2003,29,14
Muzaffarpur,2004,91,14
Muzaffarpur,2005,9,14
Muzaffarpur,2006,14,14
Muzaffarpur,2007,154,14
Muzaffarpur,2008,13,14
Muzaffarpur,2009,14,14
Muzaffarpur,2010,1,14
Muzaffarpur,2011,42,14
Muzaffarpur,2012,9,14
Muzaffarpur,2013,7,14
Muzaffarpur,2014,4,14
Muzaffarpur,2015,0,14
Muzaffarpur,2016,10,14
Muzaffarpur,2017,21,14
Nalanda,2000,1,27
Nalanda,2001,0,27
Nalanda,2002,7,27
Nalanda,2003,0,27
Nalanda,2004,0,27
Nalanda,2005,0,27
Nalanda,2006,0,27
Nalanda,2007,20,27
Nalanda,2008,2,27
Nalanda,2009,2,27
Nalanda,2010,0,27
Nalanda,2011,4,27
Nalanda,2012,0,27
Nalanda,2013,0,27
Nalanda,2014,62,27
Nalanda,2015,2,27
Nalanda,2016,13,27
Nalanda,2017,0,27
Nawada,2000,0,35
Nawada,2001,0,35
Nawada,2002,0,35
Nawada,2003,0,35
Nawada,2004,0,35
Nawada,2005,0,35
Nawada,2006,0,35
Nawada,2007,0,35
Nawada,2008,0,35
Nawada,2009,0,35
Nawada,2010,0,35
Nawada,2011,0,35
Nawada,2012,0,35
Nawada,2013,0,35
Nawada,2014,8,35
Nawada,2015,0,35
Nawada,2016,0,35
Nawada,2017,0,35
Patna,2000,0,28
Patna,2001,2,28
Patna,2002,0,28
Patna,2003,11,28
Patna,2004,0,28
Patna,2005,0,28
Patna,2006,0,28
Patna,2007,5,28
Patna,2008,3,28
Patna,2009,0,28
Patna,2010,0,28
Patna,2011,6,28
Patna,2012,0,28
Patna,2013,7,28
Patna,2014,14,28
Patna,2015,0,28
Patna,2016,78,28
Patna,2017,0,28
Purnia,2000,3,9
Purnia,2001,0,9
Purnia,2002,6,9
Purnia,2003,2,9
Purnia,2004,6,9
Purnia,2005,0,9
Purnia,2006,0,9
Purnia,2007,0,9
Purnia,2008,1,9
Purnia,2009,3,9
Purnia,2010,1,9
Purnia,2011,1,9
Purnia,2012,0,9
Purnia,2013,33,9
Purnia,2014,0,9
Purnia,2015,6,9
Purnia,2016,25,9
Purnia,2017,44,9
Rohtas,2000,0,32
Rohtas,2001,0,32
Rohtas,2002,0,32
Rohtas,2003,0,32
Rohtas,2004,0,32
Rohtas,2005,0,32
Rohtas,2006,0,32
Rohtas,2007,0,32
Rohtas,2008,0,32
Rohtas,2009,0,32
Rohtas,2010,0,32
Rohtas,2011,0,32
Rohtas,2012,0,32
Rohtas,2013,0,32
Rohtas,2014,0,32
Rohtas,2015,0,32
Rohtas,2016,0,32
Rohtas,2017,0,32
Saharsa,2000,7,12
Saharsa,2001,9,12
Saharsa,2002,20,12
Saharsa,2003,6,12
Saharsa,2004,8,12
Saharsa,2005,5,12
Saharsa,2006,0,12
Saharsa,2007,42,12
Saharsa,2008,48,12
Saharsa,2009,10,12
Saharsa,2010,8,12
Saharsa,2011,11,12
Saharsa,2012,4,12
Saharsa,2013,0,12
Saharsa,2014,9,12
Saharsa,2015,0,12
Saharsa,2016,11,12
Saharsa,2017,8,12
Samastipur,2000,14,19
Samastipur,2001,12,19
Samastipur,2002,86,19
Samastipur,2003,23,19
Samastipur,2004,161,19
Samastipur,2005,11,19
Samastipur,2006,0,19
Samastipur,2007,201,19
Samastipur,2008,0,19
Samastipur,2009,0,19
Samastipur,2010,0,19
Samastipur,2011,5,19
Samastipur,2012,0,19
Samastipur,2013,11,19
Samastipur,2014,0,19
Samastipur,2015,0,19
Samastipur,2016,16,19
Samastipur,2017,2,19
Saran,2000,0,17
Saran,2001,31,17
Saran,2002,15,17
Saran,2003,12,17
Saran,2004,0,17
Saran,2005,0,17
Saran,2006,0,17
Saran,2007,0,17
Saran,2008,0,17
Saran,2009,0,17
Saran,2010,0,17
Saran,2011,2,17
Saran,2012,0,17
Saran,2013,4,17
Saran,2014,0,17
Saran,2015,0,17
Saran,2016,16,17
Saran,2017,13,17
Sheikhpura,2000,0,26
Sheikhpura,2001,0,26
Sheikhpura,2002,0,26
Sheikhpura,2003,0,26
Sheikhpura,2004,0,26
Sheikhpura,2005,0,26
Sheikhpura,2006,0,26
Sheikhpura,2007,0,26
Sheikhpura,2008,14,26
Sheikhpura,2009,0,26
Sheikhpura,2010,0,26
Sheikhpura,2011,0,26
Sheikhpura,2012,0,26
Sheikhpura,2013,0,26
Sheikhpura,2014,7,26
Sheikhpura,2015,0,26
Sheikhpura,2016,0,26
Sheikhpura,2017,0,26
Sheohar,2000,8,3
Sheohar,2001,0,3
Sheohar,2002,20,3
Sheohar,2003,24,3
Sheohar,2004,25,3
Sheohar,2005,0,3
Sheohar,2006,0,3
Sheohar,2007,10,3
Sheohar,2008,0,3
Sheohar,2009,0,3
Sheohar,2010,0,3
Sheohar,2011,0,3
Sheohar,2012,0,3
Sheohar,2013,0,3
Sheohar,2014,1,3
Sheohar,2015,0,3
Sheohar,2016,0,3
Sheohar,2017,6,3
Sitamarhi,2000,33,4
Sitamarhi,2001,12,4
Sitamarhi,2002,47,4
Sitamarhi,2003,25,4
Sitamarhi,2004,102,4
Sitamarhi,2005,20,4
Sitamarhi,2006,14,4
Sitamarhi,2007,59,4
Sitamarhi,2008,0,4
Sitamarhi,2009,8,4
Sitamarhi,2010,0,4
Sitamarhi,2011,42,4
Sitamarhi,2012,1,4
Sitamarhi,2013,0,4
Sitamarhi,2014,7,4
Sitamarhi,2015,0,4
Sitamarhi,2016,0,4
Sitamarhi,2017,47,4
Siwan,2000,0,16
Siwan,2001,4,16
Siwan,2002,4,16
Siwan,2003,0,16
Siwan,2004,0,16
Siwan,2005,0,16
Siwan,2006,0,16
Siwan,2007,0,16
Siwan,2008,0,16
Siwan,2009,0,16
Siwan,2010,0,16
Siwan,2011,0,16
Siwan,2012,0,16
Siwan,2013,0,16
Siwan,2014,0,16
Siwan,2015,0,16
Siwan,2016,0,16
Siwan,2017,0,16
Supaul,2000,0,6
Supaul,2001,0,6
Supaul,2002,5,6
Supaul,2003,2,6
Supaul,2004,7,6
Supaul,2005,0,6
Supaul,2006,3,6
Supaul,2007,1,6
Supaul,2008,217,6
Supaul,2009,1,6
Supaul,2010,4,6
Supaul,2011,4,6
Supaul,2012,1,6
Supaul,2013,4,6
Supaul,2014,0,6
Supaul,2015,6,6
Supaul,2016,20,6
Supaul,2017,16,6
Vaishali,2000,0,18
Vaishali,2001,3,18
Vaishali,2002,0,18
Vaishali,2003,9,18
Vaishali,2004,0,18
Vaishali,2005,0,18
Vaishali,2006,0,18
Vaishali,2007,47,18
Vaishali,2008,3,18
Vaishali,2009,0,18
Vaishali,2010,0,18
Vaishali,2011,6,18
Vaishali,2012,0,18
Vaishali,2013,17,18
Vaishali,2014,0,18
Vaishali,2015,0,18
Vaishali,2016,21,18
Vaishali,2017,0,18
West Champaran,2000,8,1
West Champaran,2001,23,1
West Champaran,2002,0,1
West Champaran,2003,18,1
West Champaran,2004,0,1
West Champaran,2005,0,1
West Champaran,2006,0,1
West Champaran,2007,22,1
West Champaran,2008,0,1
West Champaran,2009,0,1
West Champaran,2010,4,1
West Champaran,2011,4,1
West Champaran,2012,0,1
West Champaran,2013,0,1
West Champaran,2014,0,1
West Champaran,2015,0,1
West Champaran,2016,0,1
West Champaran,2017,42,1